timestep,episode,reward,length,mean_reward_10ep
7,1,5.068,7,5.068
15,2,5.65,8,5.359
32,3,14.178,17,8.299
40,4,6.746,8,7.911
46,5,4.199,6,7.168
60,6,12.244,14,8.014
72,7,8.402,12,8.07
83,8,7.597,11,8.011
103,9,14.83,20,8.768
114,10,8.08,11,8.7
124,11,8.248,10,9.018
133,12,6.496,9,9.102
141,13,5.35,8,8.219
153,14,8.581,12,8.403
179,15,18.085,26,9.791
209,16,22.917,30,10.859
215,17,3.869,6,10.405
235,18,14.332,20,11.079
245,19,8.045,10,10.4
253,20,5.254,8,10.118
264,21,8.232,11,10.116
268,22,2.667,4,9.733
279,23,8.831,11,10.081
284,24,3.035,5,9.526
289,25,3.546,5,8.073
298,26,5.986,9,6.38
326,27,20.332,28,8.026
344,28,13.081,18,7.901
349,29,3.398,5,7.436
353,30,2.646,4,7.175
366,31,10.919,13,7.444
373,32,5.514,7,7.729
383,33,7.484,10,7.594
387,34,2.765,4,7.567
399,35,8.201,12,8.033
406,36,4.952,7,7.929
425,37,13.233,19,7.219
430,38,3.447,5,6.256
434,39,2.582,4,6.174
447,40,9.251,13,6.835
469,41,19.081,22,7.651
480,42,7.746,11,7.874
485,43,3.845,5,7.51
504,44,14.252,19,8.659
508,45,3.079,4,8.147
515,46,4.853,7,8.137
532,47,12.402,17,8.054
541,48,7.348,9,8.444
558,49,13.743,17,9.56
579,50,18.516,21,10.487
599,51,14.766,20,10.055
619,52,17.61,20,11.041
649,53,21.052,30,12.762
670,54,14.119,21,12.749
679,55,6.552,9,13.096
696,56,13.197,17,13.931
700,57,2.68,4,12.958
710,58,8.098,10,13.033
718,59,6.466,8,12.306
725,60,5.715,7,11.025
729,61,2.566,4,9.805
747,62,13.382,18,9.383
751,63,3.02,4,7.579
763,64,8.83,12,7.051
793,65,22.552,30,8.651
803,66,7.28,10,8.059
814,67,9.178,11,8.709
818,68,2.979,4,8.197
829,69,9.048,11,8.455
840,70,8.447,11,8.728
845,71,3.845,5,8.856
875,72,21.152,30,9.633
879,73,2.846,4,9.616
885,74,4.778,6,9.211
900,75,11.231,15,8.078
909,76,6.381,9,7.989
925,77,11.1,16,8.181
931,78,4.348,6,8.318
937,79,4.133,6,7.826
967,80,20.968,30,9.078
972,81,3.645,5,9.058
981,82,7.613,9,7.704
992,83,7.851,11,8.205
997,84,3.897,5,8.117
1001,85,2.5,4,7.243
1008,86,4.417,7,7.047
1033,87,22.309,25,8.168
1039,88,4.545,6,8.188
1043,89,2.502,4,8.025
1062,90,14.331,19,7.361
1066,91,2.746,4,7.271
1072,92,4.479,6,6.958
1078,93,4.446,6,6.617
1084,94,4.712,6,6.699
1088,95,2.915,4,6.74
1094,96,4.546,6,6.753
1096,97,1.313,2,4.653
1101,98,3.579,5,4.557
1108,99,6.146,7,4.921
1114,100,3.867,6,3.875
1117,101,2.279,3,3.828
1128,102,7.783,11,4.159
1134,103,3.651,6,4.079
1146,104,8.169,12,4.425
1176,105,22.02,30,6.335
1196,106,15.019,20,7.383
1203,107,5.379,7,7.789
